Index,Comment,Tag,type
0,🇺🇦🗑,Hated,derogatory
1,ukraine👎👎👎,Hated,derogatory
2,NAZI - NATO 😂💀,Hated,discriminatory
3,BIDEN 😴😴😴,Hated,criticism
4,🤮🤮🤮🤮🤮🤮,Hated,disgust
5,I can summarize Jay-Z in one WORD; EVIL👹👹,Hated,disgust
6,😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😠😠😠😭😭🤢🤢🤢🤮🤮🤧🤧🤧🤧👎👎,Hated,disgust
7,Kanye 😎; Jay Z 🤮,Hated,disgust
8,A Kylie Jenner BAG 🤢🤮,Hated,criticism
9,ns tbh.; They didn't even say anything about selena 🤦,Hated,mocking
10,According to WION India has 0 cases & 0 deaths while china has trillions of cases 😂🤡,Hated,sarcasm
11,If you care about Britney so much then please learn to spell her name properly…🙄,Hated, mocking
12,Yessir I been waiting for this 🥴,Hated,mocking
13,Who the new noti gang soldiers? 😈‼️,Hated,rebellious
14,Is it war time yet 🙄💯,Hated,rebellious
15,OHH ;;;;; BACK AGAIN THIS GRAYING WOLF 🤣🤣🤣🤣🤣😋🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️,Hated,mocking
16,Selena true colours are coming out😈,Hated,accusatory
17,Goddamnit you’re on thin ice pal👴🏻,Hated,insulting
18,That nappy hair doo💀💀,Hated,sarcastic
19,ll give him something to sniff. 😵‍💫,Hated,threat
20,Pops legs ain’t working like they used to☠️,Hated,mocking
21,They created a church for tax evasion?! A new evil kind of LOW! 🤮 the greed is endless with this clan,Hated,criticism
22,Kim’s washed 🤷🏽‍♀️,Hated,derogatory
23,ong live Steve man 😢🤦🏿‍♂️🔥🚬🐫,Hated,mocking
24,The same lady in doctor phill for kicking toilets 😂,Hated,mocking
25,😂😂😂💀❤️❤️,Non-Hated,affection
26,5:07 is so funny  and the  guy  Look like  He  Smoke 20 packs of cigarettes  Everyday 🚭 🤣,Non-Hated,funny
27,“Goddamn it you’re on thin ice pal” 🥵,Non-Hated,warning
28,say arkward 🙃 but intriguing. The squirrel 🐿️ is amusing 😆,Non-Hated,humorous
29,NPCs are really interactive this GTA6 🤯🤯🤯,Non-Hated,amazement
30,100k 😤🚀,Non-Hated,excitement
31,im bout to go home and do my thing...😂🙂😐,Non-Hated,happiness
32,shi killed me that shi was funny asf 🤣🤣,Non-Hated,entertaining
33,Who was this video about 😳,Non-Hated,surprised
34,Jay z is the 🤘 😈,Non-Hated,admiration
35,Yee should have listened him 😂🤣. Look how things turn out for him,Non-Hated,joke
36,I agree; like Donald Trump ☹️,Non-Hated,sadness
37,Bad Bunny needs to stay clear of that family and save himself now. 😩😩😩,Non-Hated,concerning
38,Selena we don't defend bullys 😢😢😢;  stop it 😵😵😵😵😵😵😵,Non-Hated,concerning
39,🤣... It will have to learn to live with the dragon🔥🐉😂,Non-Hated,humorous
40,Bro your missing a walkie-talkie💀,Non-Hated,humorous
41,Jealousy is disease 🤣,Non-Hated,amusement
42,Deadass 😭😂😂😂,Non-Hated,joke
43,Mee!! 😈😈,Non-Hated,admiration
44,Bro always makes my day😭😭,Non-Hated,admiration
45,i’m happy for the both of them ; they seem like a cute couple to me. plus there we’re signs 🤷🏽‍♀️,Non-Hated,acknowledgement
46,1:58 💀💀💀💀,Non-Hated,surprised
47,“I swear to god I didn’t know it was a women”💀💀,Non-Hated,humorous
48,7:28 “ I think it’s dragonfruit mango 🥭 or some 💩” took me out 😭,Non-Hated,amusement
49,Love da goat kj🗣️,Non-Hated,admiration
50,Yooooo😶,Non-Hated,surprised
51,Real security gave zero fucks😂👌🏾,Non-Hated,humorous
