Message,Hated/Non-Hated,Description
i’m happy for the both of them ; they seem like a cute couple to me. plus there we’re signs 🤷🏽‍♀️,Non-Hated, No; the statement is not hate speech. The use of emojis; including the shrugging woman; does not change the meaning of the text to be hateful. The statement expresses a positive opinion about a couple and acknowledges that there were signs that they were a good match. There is nothing in the statement that indicates a desire to harm; discriminate against; or dehumanize anyone based on their race; gender; religion; or any other characteristic.
She wears a sizE 8... No one that is a model wears women's EIGHT . BIG FOOT COMPLEXION 🥰🤗😂🙃🙏🧬💯💜💖,Hated, The statement could be considered hate speech as it contains derogatory language and implies that someone with a size 8 foot is not desirable or worthy of being a model. The use of emojis such as heart eyes and laughing faces does not negate the negative connotation of the text. It perpetuates harmful and unfounded stereotypes that equate foot size with beauty or success. This statement may contribute to body shaming and discrimination based on physical appearance.
Russia is wining 30 countries vs Russia 💪🇷🇺,Hated, The statement is not necessarily hate speech; but it may be seen as inflammatory or provocative. It expresses a competitive sentiment between Russia and other countries; but it does not contain any explicit discriminatory language or intention to harm. The use of the muscle and Russian flag emojis may be seen as celebratory or patriotic; but they do not inherently convey any hateful or discriminatory message. However; it is important to note that this kind of language can contribute to nationalist and xenophobic attitudes; which can lead to harmful actions and policies against people from other countries.
They just demonstrated how safe the country is to the minister lol😅,Hated, The statement is not necessarily hate speech. It is a comment on a situation where someone demonstrated the safety of a country to a minister; and it does not contain any explicit discriminatory language or intention to harm. The use of the laughing face emoji may indicate that the statement is intended to be humorous or sarcastic; but it does not inherently convey any hateful or discriminatory message. However; depending on the context; this kind of language could contribute to downplaying serious issues of safety or security; which can have negative consequences for people living in or visiting the country.
Man everything about that guy was funny haha great job finding him. Always content at Walmart 🤣,Hated, The statement is not hate speech; but it could be seen as insensitive or disrespectful. It is a comment on someone who was found at Walmart and is considered funny; but it does not contain any explicit discriminatory language or intention to harm. The use of the laughing face emoji may indicate that the statement is intended to be humorous or light-hearted; but it does not inherently convey any hateful or discriminatory message. However; depending on the context; this kind of language could contribute to stigmatizing people who are perceived as being different or marginalized; which can be harmful and perpetuate negative stereotypes.
😂😂😭😭 old black guy had me crying moaning like that back to the toy💀,Hated, The statement is not necessarily hate speech; but it may be seen as insensitive or disrespectful. It describes a situation where an older Black man made the speaker laugh; but the use of the crying-laughing and crying emojis may be interpreted as making light of the man or his actions. Depending on the context; this kind of language could contribute to ageism or racism; perpetuate negative stereotypes about older people or Black people; and be hurtful to those communities. Therefore; it is important to be mindful of the language and emojis used; and how they can impact different audiences.
Bro always makes my day😭😭,Non-Hated,
404 Ukrainian 🇺🇦 jet has already been downed 😅 what would 4 migs do for Ukraine 🇺🇦 ,Hated,
They created a church for tax evasion?! A new evil kind of LOW! 🤮 the greed is endless with this clan,Hated,
Super proud of Selena. She’s genuine and she’s kind. She’s empathetic and truly cares. She’s been through a lot; too. She’s such a talented person. She’s a wonderful actor AND singer.  And all the things she does behind the scenes and on the other side of the camera; are amazing; as well.  She’s had to deal with some pretty serious health issues; too. I admire Selena. I truly do. She has grown into a really wonderful adult. Love her!🙏☮🌍💛😻🐾,Non-Hated,
CHINA Continue developing US we have to discuss what is transgender 😂,Hated, This statement seems to contain a political opinion and a comparison between China and the US. The use of emojis doesn't change the meaning of the statement but it could convey a tone of sarcasm or humor.
Glory to the BRICS Nations 💯🫡,Non-Hated, This statement does not appear to be an instance of hate speech. The use of emojis does not change the fact that it expresses a positive sentiment towards the BRICS nations (Brazil Russia India China and South Africa).
real sac shit🤣🤣🤣🤣,Non-Hated, The statement real sac shit 🤣🤣🤣🤣 is difficult to interpret without more context but it could be seen as a slang expression that refers to something that is typical or representative of Sacramento California or a particular subculture or community in the area. The use of the rolling on the floor laughing emoji 🤣 could be interpreted as an expression of humor or amusement rather than as an attempt to mock or belittle someone. Without more context it does not appear to target or discriminate against any particular group or individual based on their race ethnicity gender sexual orientation religion or any other personal characteristic.
 Bro is a menace😈😈😈😭😭😭😭 ,Non-Hated, The statement Bro is a menace 😈😈😈😭😭😭😭 could be interpreted as a slang expression that describes someone who is causing trouble or acting recklessly. The use of the smiling face with horns emoji 😈 could be interpreted as an expression of humor or exaggeration; while the loudly crying face emoji 😭 could indicate that the writer is feeling emotional or overwhelmed. Without more context; it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic; but it is important to remember to engage in discussions and express opinions in a respectful and non-discriminatory manner; without resorting to insults or vulgar language.
Mee!! 😈😈,Non-Hated,
Same here doggg😂😂😂🤙,Non-Hated,
😈🤫,Non-Hated,
Deadass 😭😂😂😂,Non-Hated,
1:58 💀💀💀💀,Non-Hated,
A Kylie Jenner BAG 🤢🤮,Hated,
I can dump it too🤭,Non-Hated,
Let them reverse the surgeries they had such as nose jobs; lip fillers; eyebrows; lashes and Selena stands out as a natural true beauty ❤  ,Hated, This statement is not inherently hateful; but it could be considered body-shaming or promoting negative attitudes towards cosmetic procedures. The use of emojis does not change the potential offensiveness of the statement.
💀 dude is always gettin it,Non-Hated,The statement 💀 dude is always gettin it does not appear to be hate speech. It could be interpreted as a compliment or expression of admiration towards someone who is successful or achieving their goals. Without more context; it is difficult to determine the meaning or intent behind the statement; but it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic.
“Your snot smells like shit” 💀💀💀😂😂😂🤣🤣🤣🤣🤣🤣🤣,Hated, The statement Your snot smells like shit 💀💀💀😂😂😂🤣🤣🤣🤣🤣🤣🤣 could be considered vulgar and offensive by some people. It appears to be a crude insult towards someone's bodily functions; and could be seen as disrespectful or hurtful. While it does not target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic; it is important to remember to engage in discussions and express opinions in a respectful and non-discriminatory manner; without resorting to insults or vulgar language.
According to WION India has 0 cases & 0 deaths while china has trillions of cases 😂🤡,Hated, The statement appears to be a false claim; as both India and China have reported COVID-19 cases and deaths. It is important to rely on reliable sources and fact-check information before believing and sharing it. The use of the clown emoji may suggest mockery or sarcasm towards the source of the claim.
From China Thanks for the recent positive coverage 😅😊,Non-Hated, The statement From China Thanks for the recent positive coverage 😅😊 does not appear to be hate speech. It seems to be a message of appreciation for positive coverage or attention that China has received recently; perhaps in the media or in public opinion. Without further context; it is difficult to determine the meaning or intent behind the statement; but it does not appear to target or discriminate against any particular group or individual based on their race; ethnicity; gender; sexual orientation; religion; or any other personal characteristic.
That’s disgusting 🤮 of Drake screwing all the k clan very disturbing it’s like a hick billy move 🤮,Hated,
